Genotype Test Result for SLCO1B1,Coded Genotype/Phenotype Summarya,EHR Priority Result Notationb,,,,,,,
*20/*20,Indeterminate,None,,,,,,,
*20/*21,Indeterminate,None,,,,,,,
*20/*22,Indeterminate,None,,,,,,,
*20/*23,Indeterminate,None,,,,,,,
*20/*24,Indeterminate,None,,,,,,,
*20/*25,Indeterminate,None,,,,,,,
*20/*26,Indeterminate,None,,,,,,,
*20/*27,Indeterminate,None,,,,,,,
*20/*28,Indeterminate,None,,,,,,,
*20/*29,Indeterminate,None,,,,,,,
*20/*30,Indeterminate,None,,,,,,,
*20/*31,Indeterminate,None,,,,,,,
*20/*32,Indeterminate,None,,,,,,,
*20/*33,Indeterminate,None,,,,,,,
*20/*34,Indeterminate,None,,,,,,,
*20/*35,Indeterminate,None,,,,,,,
*20/*36,Indeterminate,None,,,,,,,
*21/*21,Indeterminate,None,,,,,,,
*21/*22,Indeterminate,None,,,,,,,
*21/*23,Indeterminate,None,,,,,,,
*21/*24,Indeterminate,None,,,,,,,
*21/*25,Indeterminate,None,,,,,,,
*21/*26,Indeterminate,None,,,,,,,
*21/*27,Indeterminate,None,,,,,,,
*21/*28,Indeterminate,None,,,,,,,
*21/*29,Indeterminate,None,,,,,,,
*21/*30,Indeterminate,None,,,,,,,
*21/*31,Indeterminate,None,,,,,,,
*21/*32,Indeterminate,None,,,,,,,
*21/*33,Indeterminate,None,,,,,,,
*21/*34,Indeterminate,None,,,,,,,
*21/*35,Indeterminate,None,,,,,,,
*21/*36,Indeterminate,None,,,,,,,
*22/*22,Indeterminate,None,,,,,,,
*22/*23,Indeterminate,None,,,,,,,
*22/*24,Indeterminate,None,,,,,,,
*22/*25,Indeterminate,None,,,,,,,
*22/*26,Indeterminate,None,,,,,,,
*22/*27,Indeterminate,None,,,,,,,
*22/*28,Indeterminate,None,,,,,,,
*22/*29,Indeterminate,None,,,,,,,
*22/*30,Indeterminate,None,,,,,,,
*22/*31,Indeterminate,None,,,,,,,
*22/*32,Indeterminate,None,,,,,,,
*22/*33,Indeterminate,None,,,,,,,
*22/*34,Indeterminate,None,,,,,,,
*22/*35,Indeterminate,None,,,,,,,
*22/*36,Indeterminate,None,,,,,,,
*23/*23,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*23/*24,Indeterminate,None,,,,,,,
*23/*25,Indeterminate,None,,,,,,,
*23/*26,Indeterminate,None,,,,,,,
*23/*27,Indeterminate,None,,,,,,,
*23/*28,Indeterminate,None,,,,,,,
*23/*29,Indeterminate,None,,,,,,,
*23/*30,Indeterminate,None,,,,,,,
*23/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*23/*32,Indeterminate,None,,,,,,,
*23/*33,Indeterminate,None,,,,,,,
*23/*34,Indeterminate,None,,,,,,,
*23/*35,Indeterminate,None,,,,,,,
*23/*36,Indeterminate,None,,,,,,,
*24/*24,Indeterminate,None,,,,,,,
*24/*25,Indeterminate,None,,,,,,,
*24/*26,Indeterminate,None,,,,,,,
*24/*27,Indeterminate,None,,,,,,,
*24/*28,Indeterminate,None,,,,,,,
*24/*29,Indeterminate,None,,,,,,,
*24/*30,Indeterminate,None,,,,,,,
*24/*31,Indeterminate,None,,,,,,,
*24/*32,Indeterminate,None,,,,,,,
*24/*33,Indeterminate,None,,,,,,,
*24/*34,Indeterminate,None,,,,,,,
*24/*35,Indeterminate,None,,,,,,,
*24/*36,Indeterminate,None,,,,,,,
*25/*25,Indeterminate,None,,,,,,,
*25/*26,Indeterminate,None,,,,,,,
*25/*27,Indeterminate,None,,,,,,,
*25/*28,Indeterminate,None,,,,,,,
*25/*29,Indeterminate,None,,,,,,,
*25/*30,Indeterminate,None,,,,,,,
*25/*31,Indeterminate,None,,,,,,,
*25/*32,Indeterminate,None,,,,,,,
*25/*33,Indeterminate,None,,,,,,,
*25/*34,Indeterminate,None,,,,,,,
*25/*35,Indeterminate,None,,,,,,,
*25/*36,Indeterminate,None,,,,,,,
*26/*26,Indeterminate,None,,,,,,,
*26/*27,Indeterminate,None,,,,,,,
*26/*28,Indeterminate,None,,,,,,,
*26/*29,Indeterminate,None,,,,,,,
*26/*30,Indeterminate,None,,,,,,,
*26/*31,Indeterminate,None,,,,,,,
*26/*32,Indeterminate,None,,,,,,,
*26/*33,Indeterminate,None,,,,,,,
*26/*34,Indeterminate,None,,,,,,,
*26/*35,Indeterminate,None,,,,,,,
*26/*36,Indeterminate,None,,,,,,,
*27/*27,Indeterminate,None,,,,,,,
*27/*28,Indeterminate,None,,,,,,,
*27/*29,Indeterminate,None,,,,,,,
*27/*30,Indeterminate,None,,,,,,,
*27/*31,Indeterminate,None,,,,,,,
*27/*32,Indeterminate,None,,,,,,,
*27/*33,Indeterminate,None,,,,,,,
*27/*34,Indeterminate,None,,,,,,,
*27/*35,Indeterminate,None,,,,,,,
*27/*36,Indeterminate,None,,,,,,,
*28/*28,Indeterminate,None,,,,,,,
*28/*29,Indeterminate,None,,,,,,,
*28/*30,Indeterminate,None,,,,,,,
*28/*31,Indeterminate,None,,,,,,,
*28/*32,Indeterminate,None,,,,,,,
*28/*33,Indeterminate,None,,,,,,,
*28/*34,Indeterminate,None,,,,,,,
*28/*35,Indeterminate,None,,,,,,,
*28/*36,Indeterminate,None,,,,,,,
*29/*29,Indeterminate,None,,,,,,,
*29/*30,Indeterminate,None,,,,,,,
*29/*31,Indeterminate,None,,,,,,,
*29/*32,Indeterminate,None,,,,,,,
*29/*33,Indeterminate,None,,,,,,,
*29/*34,Indeterminate,None,,,,,,,
*29/*35,Indeterminate,None,,,,,,,
*29/*36,Indeterminate,None,,,,,,,
*30/*30,Indeterminate,None,,,,,,,
*30/*31,Indeterminate,None,,,,,,,
*30/*32,Indeterminate,None,,,,,,,
*30/*33,Indeterminate,None,,,,,,,
*30/*34,Indeterminate,None,,,,,,,
*30/*35,Indeterminate,None,,,,,,,
*30/*36,Indeterminate,None,,,,,,,
*31/*31,SLCO1B1 - Possible Low Function,Abnormal/Priority/High Risk,,,,,,,
*31/*32,Indeterminate,None,,,,,,,
*31/*33,Indeterminate,None,,,,,,,
*31/*34,Indeterminate,None,,,,,,,
*31/*35,Indeterminate,None,,,,,,,
*31/*36,Indeterminate,None,,,,,,,
*32/*32,Indeterminate,None,,,,,,,
*32/*33,Indeterminate,None,,,,,,,
*32/*34,Indeterminate,None,,,,,,,
*32/*35,Indeterminate,None,,,,,,,
*32/*36,Indeterminate,None,,,,,,,
*33/*33,Indeterminate,None,,,,,,,
*33/*34,Indeterminate,None,,,,,,,
*33/*35,Indeterminate,None,,,,,,,
*33/*36,Indeterminate,None,,,,,,,
*34/*34,Indeterminate,None,,,,,,,
*34/*35,Indeterminate,None,,,,,,,
*34/*36,Indeterminate,None,,,,,,,
*35/*35,SLCO1B1 - Possible Increased Function,None,,,,,,,
*35/*36,Indeterminate,None,,,,,,,
*36/*36,Indeterminate,None,,,,,,,
aThe coded diplotype/phenotype summery is used to store an interpretation of the test result.  This is a design decision that may differ among sites.,,,,,,,,,
"bFor this example, a priority result is defined as a genetic test result that results in a change in drug, drug dose, or drug monitoring.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
